cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
b4%;b4 - Banco de Desenvolvimento;mar/20;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,20%;0,85%;0,79%;2,04%;2,28%;1,92%;0,06%;1,49%;0,01%;0,02%;0,04%;0,10%;0,16%;0,19%;0,76%;0,07%;0,00%;0,14%;0,10%;0,11%;0,28%;0,35%;0,11%;11,24%;0,22%;0,54%;0,43%;0,61%;0,64%;0,65%;0,15%;0,06%;0,50%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,09%;0,30%;0,47%;0,24%;0,01%;0,00%;0,23%;55,40%;38,91%;45,00%;51,11%;56,51%;65,76%;68,40%;57,93%;1,43%;6,77%;5,01%;22,36%;34,18%;41,88%;41,05%;14,81%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,40%;1,51%;2,74%;29,41%;0,03%;0,00%;0,02%
n1%;n1 - Não Bancário de Crédito;mar/20;1,35%;0,61%;0,52%;0,43%;0,28%;0,18%;0,10%;0,00%;0,29%;11,13%;5,19%;2,95%;0,45%;0,10%;0,52%;1,35%;2,63%;1,15%;1,29%;1,31%;1,32%;1,01%;0,89%;0,00%;1,29%;3,25%;0,42%;0,39%;0,32%;0,29%;0,30%;0,30%;0,32%;13,32%;5,83%;6,70%;2,97%;1,00%;0,00%;0,00%;6,65%;0,46%;0,23%;0,18%;0,57%;0,60%;0,72%;0,02%;0,42%;1,06%;0,43%;0,41%;0,23%;0,21%;0,48%;0,43%;0,42%;0,00%;1,14%;0,42%;0,40%;0,39%;0,33%;0,35%;0,04%;0,41%;4,85%;5,48%;4,81%;4,57%;3,77%;0,83%;0,09%;3,71%;0,05%;0,01%;0,22%;0,00%;0,00%;0,00%;0,00%;0,05%;1,15%;0,09%;1,26%;0,41%;1,00%;16,08%;0,01%;0,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,13%;0,08%;0,15%;0,12%;0,03%;0,00%;0,10%;0,77%;0,57%;0,79%;0,84%;0,58%;0,18%;0,00%;0,45%;0,38%;0,19%;0,10%;1,03%;0,60%;0,50%;0,00%;0,38%;0,00%;0,00%;0,00%;0,57%;0,01%;0,05%;0,00%;0,25%;1,55%;0,94%;1,61%;0,26%;2,26%;0,00%;11,86%
n2%;n2 - Não Bancário de Mercado de Capitais;mar/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4%;n4 - Instituições de Pagamento;mar/20;0,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,17%;4,37%;3,26%;2,46%;0,00%;0,00%;0,00%;3,64%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,10%;1,77%;0,76%;0,01%;0,00%;0,00%;0,00%;1,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,74%
C%;C - Conglomerado;mar/20;63,15%;49,18%;79,04%;79,42%;80,13%;81,28%;76,65%;99,82%;79,39%;71,66%;71,57%;71,28%;72,74%;76,18%;76,69%;94,85%;72,54%;88,61%;85,52%;85,47%;85,42%;85,96%;80,92%;99,83%;85,54%;17,28%;27,49%;27,78%;27,71%;27,33%;27,53%;33,51%;28,55%;71,25%;83,17%;84,11%;85,86%;97,68%;86,79%;100,00%;82,39%;78,37%;60,16%;72,59%;70,54%;73,37%;79,53%;99,93%;71,16%;68,65%;63,23%;59,62%;68,05%;66,23%;67,05%;81,34%;64,36%;100,00%;57,16%;76,68%;76,26%;72,63%;66,36%;70,68%;84,65%;73,75%;75,89%;69,94%;69,74%;70,89%;76,97%;97,22%;99,79%;77,57%;81,34%;90,59%;57,85%;89,93%;99,82%;97,60%;99,96%;84,37%;72,64%;87,09%;78,57%;87,80%;94,52%;45,25%;99,99%;84,68%;81,06%;87,39%;88,63%;87,74%;97,07%;98,93%;100,00%;89,75%;79,16%;83,96%;86,50%;80,85%;81,08%;85,55%;96,39%;83,80%;21,66%;29,67%;29,47%;25,60%;19,85%;13,32%;14,66%;19,61%;65,06%;80,11%;77,26%;62,05%;52,37%;51,27%;28,61%;69,96%;81,90%;44,02%;52,63%;58,61%;85,82%;46,65%;91,51%;58,24%;56,59%;66,71%;70,85%;55,46%;90,29%;99,81%;70,76%
I%;I - Instituição independente;mar/20;36,85%;50,82%;20,96%;20,58%;19,87%;18,72%;23,35%;0,18%;20,61%;28,34%;28,43%;28,72%;27,26%;23,82%;23,31%;5,15%;27,46%;11,39%;14,48%;14,53%;14,58%;14,04%;19,08%;0,17%;14,46%;82,72%;72,51%;72,22%;72,29%;72,67%;72,47%;66,49%;71,45%;28,75%;16,83%;15,89%;14,14%;2,32%;13,21%;0,00%;17,61%;21,63%;39,84%;27,41%;29,46%;26,63%;20,47%;0,07%;28,84%;31,35%;36,77%;40,38%;31,95%;33,77%;32,95%;18,66%;35,64%;0,00%;42,84%;23,32%;23,74%;27,37%;33,64%;29,32%;15,35%;26,25%;24,11%;30,06%;30,26%;29,11%;23,03%;2,78%;0,21%;22,43%;18,66%;9,41%;42,15%;10,07%;0,18%;2,40%;0,04%;15,63%;27,36%;12,91%;21,43%;12,20%;5,48%;54,75%;0,01%;15,32%;18,94%;12,61%;11,37%;12,26%;2,93%;1,07%;0,00%;10,25%;20,84%;16,04%;13,50%;19,15%;18,92%;14,45%;3,61%;16,20%;78,34%;70,33%;70,53%;74,40%;80,15%;86,68%;85,34%;80,39%;34,94%;19,89%;22,74%;37,95%;47,63%;48,73%;71,39%;30,04%;18,10%;55,98%;47,37%;41,39%;14,18%;53,35%;8,49%;41,76%;43,41%;33,29%;29,15%;44,54%;9,71%;0,19%;29,24%
1%;1 - Público;jun/20;47,06%;58,63%;38,54%;39,37%;42,83%;47,87%;59,14%;98,68%;45,07%;24,45%;24,35%;27,38%;32,03%;46,52%;58,00%;92,93%;31,72%;2,52%;2,12%;1,94%;1,95%;2,84%;0,38%;96,48%;2,09%;80,01%;72,06%;74,67%;75,28%;76,43%;79,47%;86,48%;78,98%;12,91%;17,90%;11,91%;7,30%;2,03%;9,12%;95,72%;15,62%;77,47%;63,27%;61,38%;66,19%;70,08%;77,83%;98,84%;66,46%;25,67%;23,21%;20,57%;13,22%;18,57%;32,31%;50,19%;20,38%;4,42%;52,02%;21,65%;22,25%;30,16%;29,15%;27,55%;54,17%;26,15%;44,95%;13,46%;22,29%;29,14%;51,84%;88,25%;22,37%;43,02%;20,66%;9,39%;22,99%;66,54%;0,00%;0,00%;4,30%;14,98%;16,21%;5,90%;5,23%;12,19%;0,00%;0,00%;0,00%;5,76%;52,39%;22,38%;17,18%;19,28%;28,65%;1,17%;87,98%;19,97%;43,51%;24,20%;20,67%;23,07%;23,21%;52,66%;35,07%;26,72%;90,44%;78,13%;74,28%;77,13%;87,26%;94,31%;95,52%;86,73%;57,55%;36,83%;31,74%;66,16%;67,03%;78,11%;0,00%;46,92%;62,03%;64,20%;68,50%;53,75%;27,60%;58,73%;71,57%;58,52%;24,44%;27,63%;27,20%;57,11%;9,23%;7,79%;18,86%
2%;2 - Privado Nacional;jun/20;38,94%;24,28%;47,87%;47,10%;44,29%;39,98%;28,72%;0,40%;42,06%;65,42%;68,33%;64,15%;54,41%;39,59%;34,16%;3,52%;57,75%;64,54%;59,13%;59,54%;59,26%;54,85%;41,94%;0,01%;59,06%;17,33%;20,81%;18,32%;17,90%;17,08%;14,95%;9,78%;15,27%;67,56%;62,57%;68,38%;67,81%;69,71%;27,37%;4,26%;64,59%;10,98%;29,03%;29,12%;21,42%;17,02%;15,60%;0,10%;23,25%;55,39%;55,25%;51,57%;56,56%;43,27%;34,46%;29,60%;52,08%;92,26%;35,27%;57,54%;59,47%;56,75%;58,04%;58,63%;16,39%;57,69%;32,23%;48,93%;41,66%;37,01%;23,57%;2,69%;2,07%;28,99%;66,40%;74,18%;57,49%;18,84%;94,12%;88,66%;0,08%;68,14%;65,57%;56,18%;45,24%;43,56%;72,41%;18,10%;99,66%;53,61%;17,14%;39,21%;41,87%;48,13%;51,54%;96,14%;12,02%;45,25%;39,26%;55,88%;56,32%;56,14%;46,50%;41,97%;49,47%;52,54%;6,99%;15,56%;17,30%;15,94%;9,11%;5,24%;4,26%;9,83%;9,67%;39,43%;37,93%;19,03%;18,35%;15,56%;0,00%;30,68%;26,45%;28,91%;21,80%;41,91%;71,60%;29,07%;28,43%;34,95%;57,49%;53,39%;47,68%;26,67%;57,92%;78,98%;63,89%
3%;3 - Privado com Controle Estrangeiro;jun/20;14,01%;17,09%;13,59%;13,52%;12,88%;12,15%;12,14%;0,92%;12,87%;10,13%;7,32%;8,47%;13,56%;13,89%;7,84%;3,54%;10,54%;32,94%;38,76%;38,52%;38,79%;42,31%;57,68%;3,51%;38,85%;2,66%;7,13%;7,01%;6,82%;6,49%;5,58%;3,74%;5,75%;19,53%;19,52%;19,71%;24,89%;28,26%;63,50%;0,02%;19,79%;11,54%;7,70%;9,50%;12,40%;12,90%;6,56%;1,06%;10,29%;18,94%;21,54%;27,86%;30,22%;38,16%;33,22%;20,22%;27,54%;3,32%;12,71%;20,82%;18,29%;13,09%;12,81%;13,82%;29,45%;16,16%;22,82%;37,61%;36,06%;33,84%;24,59%;9,06%;75,56%;27,99%;12,94%;16,42%;19,53%;14,62%;5,88%;11,34%;95,63%;16,88%;18,22%;37,92%;49,53%;44,25%;27,59%;81,90%;0,33%;40,63%;30,47%;38,41%;40,95%;32,60%;19,81%;2,69%;0,00%;34,78%;17,23%;19,92%;23,01%;20,78%;30,29%;5,37%;15,46%;20,74%;2,56%;6,31%;8,42%;6,93%;3,64%;0,45%;0,22%;3,44%;32,78%;23,73%;30,34%;14,80%;14,61%;6,33%;100,00%;22,40%;11,52%;6,88%;9,71%;4,35%;0,79%;12,20%;0,00%;6,53%;18,07%;18,99%;25,13%;16,22%;32,85%;13,23%;17,25%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;91,27%;98,24%;96,80%;96,86%;96,96%;96,89%;95,64%;99,83%;96,77%;79,59%;75,67%;75,41%;75,75%;77,42%;77,80%;96,57%;76,14%;87,05%;83,47%;83,39%;83,51%;85,11%;83,29%;100,00%;83,64%;92,99%;99,44%;99,51%;99,58%;99,62%;99,64%;99,70%;99,61%;78,57%;84,16%;84,04%;87,94%;98,00%;100,00%;100,00%;83,77%;85,74%;78,66%;75,99%;83,11%;85,30%;90,43%;99,73%;81,62%;84,06%;86,68%;87,40%;89,43%;88,60%;84,55%;94,67%;87,45%;100,00%;91,73%;86,15%;90,13%;86,94%;81,31%;77,04%;88,86%;87,49%;79,67%;67,53%;66,25%;65,15%;70,71%;96,76%;99,53%;73,79%;91,12%;91,56%;74,44%;91,56%;99,61%;98,19%;99,92%;88,25%;73,36%;88,94%;85,41%;88,21%;83,96%;32,54%;100,00%;87,89%;100,00%;100,00%;99,99%;99,92%;100,00%;100,00%;100,00%;99,98%;95,65%;91,92%;92,20%;88,54%;90,17%;90,75%;99,44%;91,30%;29,61%;61,58%;49,12%;45,00%;40,76%;33,29%;29,28%;39,38%;91,52%;92,15%;91,58%;69,54%;58,06%;55,98%;100,00%;81,22%;100,00%;100,00%;100,00%;99,42%;100,00%;99,96%;100,00%;99,73%;77,09%;76,73%;80,23%;69,51%;91,98%;99,98%;78,73%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;2,24%;0,08%;0,14%;0,14%;0,13%;0,09%;0,06%;0,00%;0,11%;0,89%;0,46%;0,41%;0,37%;0,37%;0,08%;0,00%;0,41%;10,57%;13,00%;12,88%;12,26%;9,89%;7,24%;0,00%;12,35%;0,14%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;7,66%;3,97%;4,80%;7,64%;0,00%;0,00%;0,00%;4,63%;5,06%;1,73%;2,57%;4,98%;5,40%;1,99%;0,00%;3,55%;0,08%;0,54%;0,22%;0,47%;0,70%;1,23%;0,06%;0,45%;0,00%;0,39%;4,33%;1,11%;0,57%;0,52%;0,54%;0,00%;1,27%;10,08%;20,79%;20,87%;21,91%;17,77%;0,24%;0,00%;15,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,59%;6,20%;12,47%;11,35%;15,00%;55,15%;0,00%;8,14%;0,00%;0,00%;0,01%;0,08%;0,00%;0,00%;0,00%;0,02%;0,41%;1,71%;0,75%;0,72%;0,47%;0,19%;0,29%;0,80%;1,86%;4,54%;5,77%;4,49%;1,90%;0,07%;0,22%;2,14%;2,53%;0,28%;0,55%;2,19%;3,52%;0,85%;0,00%;1,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,52%;5,08%;7,93%;1,21%;0,04%;0,02%;2,84%
b3S%;b3S - Cooperativa de Crédito Singulares;jun/20;4,54%;0,99%;2,49%;2,56%;2,62%;2,82%;4,18%;0,17%;2,81%;6,50%;18,91%;21,57%;23,46%;22,12%;21,70%;2,25%;21,04%;0,98%;2,16%;2,35%;2,80%;3,91%;8,74%;0,00%;2,63%;0,01%;0,08%;0,08%;0,08%;0,08%;0,06%;0,01%;0,06%;0,73%;1,19%;0,97%;0,01%;0,00%;0,00%;0,00%;1,05%;7,16%;18,71%;20,39%;9,59%;6,73%;5,11%;0,09%;13,03%;5,79%;10,56%;11,14%;9,77%;10,36%;13,54%;1,25%;10,30%;0,00%;6,86%;8,71%;7,96%;11,58%;17,27%;21,92%;0,75%;10,37%;2,88%;6,43%;7,39%;7,41%;6,59%;1,58%;0,12%;5,82%;8,86%;8,37%;25,18%;8,44%;0,39%;1,81%;0,08%;11,63%;18,52%;4,66%;1,09%;0,03%;0,04%;0,67%;0,00%;3,51%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,60%;6,05%;6,43%;9,71%;8,73%;8,96%;0,22%;7,31%;0,07%;0,18%;0,26%;0,31%;0,19%;0,00%;0,00%;0,14%;0,61%;1,62%;3,09%;3,61%;1,62%;0,27%;0,00%;2,50%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;14,44%;15,75%;7,14%;0,43%;4,47%;0,00%;2,57%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,33%;0,37%;0,18%;0,16%;0,08%;0,00%;0,27%;0,00%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,09%;0,38%;0,37%;0,02%;0,01%;0,17%;0,00%;0,02%;0,02%;0,03%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,02%;0,33%;0,00%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;jun/20;0,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,59%;0,76%;0,81%;1,81%;2,05%;1,80%;0,18%;1,41%;0,02%;0,01%;0,04%;0,09%;0,14%;0,24%;0,00%;0,06%;0,00%;0,17%;0,09%;0,13%;0,38%;0,41%;0,08%;10,36%;0,26%;0,59%;0,58%;0,78%;1,08%;1,23%;0,57%;0,21%;0,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,20%;0,11%;0,45%;0,54%;0,17%;0,05%;0,00%;0,31%;67,65%;33,18%;44,02%;49,32%;56,54%;66,47%;70,50%;57,88%;4,92%;5,84%;4,69%;23,58%;36,32%;42,41%;0,00%;14,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,44%;1,46%;2,82%;28,61%;0,02%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;jun/20;1,23%;0,70%;0,58%;0,44%;0,30%;0,20%;0,12%;0,00%;0,31%;13,03%;4,96%;2,60%;0,41%;0,09%;0,41%;1,18%;2,40%;1,40%;1,38%;1,38%;1,42%;1,09%;0,73%;0,00%;1,38%;6,86%;0,43%;0,36%;0,30%;0,28%;0,28%;0,28%;0,30%;13,03%;5,44%;6,67%;4,40%;2,00%;0,00%;0,00%;6,45%;0,44%;0,15%;0,24%;0,51%;0,52%;0,67%;0,00%;0,40%;0,81%;0,43%;0,34%;0,23%;0,19%;0,44%;0,78%;0,36%;0,00%;0,86%;0,39%;0,29%;0,35%;0,33%;0,33%;0,04%;0,34%;6,78%;4,67%;4,70%;4,45%;3,68%;0,85%;0,14%;3,58%;0,02%;0,06%;0,38%;0,00%;0,00%;0,00%;0,00%;0,12%;1,54%;0,19%;1,03%;0,40%;1,00%;11,64%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,14%;0,17%;0,09%;0,11%;0,08%;0,02%;0,00%;0,10%;0,81%;0,49%;0,81%;0,85%;0,62%;0,17%;0,00%;0,46%;0,43%;0,12%;0,09%;1,08%;0,47%;0,49%;0,00%;0,36%;0,00%;0,00%;0,00%;0,58%;0,00%;0,04%;0,00%;0,27%;1,45%;0,96%;1,55%;0,24%;3,49%;0,00%;10,36%
n2%;n2 - Não Bancário de Mercado de Capitais;jun/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,23%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
